raceId,driverId,stop,lap,milliseconds_pit,positionOrder,points,laps
1012,842,2,39,22722,6,9.0,56
1012,842,3,53,22408,6,9.0,56
1012,817,1,18,23506,7,6.0,55
1012,815,1,20,23733,8,4.0,55
1012,8,1,25,23888,9,2.0,55
1012,848,1,19,23215,10,1.0,55
1012,154,1,8,23261,11,0.0,55
1012,154,2,35,23520,11,0.0,55
1012,840,1,20,23466,12,0.0,55
1012,840,2,44,23515,12,0.0,55
1012,825,1,9,23964,13,0.0,55
1012,825,2,33,23383,13,0.0,55
1012,832,1,1,45878,14,0.0,55
1012,832,2,36,22532,14,0.0,55
1012,841,1,7,25184,15,0.0,55
1012,841,2,30,25137,15,0.0,55
1012,847,1,22,24332,16,0.0,54
1012,847,2,49,23965,16,0.0,54
1012,9,1,26,32627,17,0.0,54
1012,846,2,17,33638,18,0.0,50
1012,846,3,34,22524,18,0.0,50
1012,826,1,7,17257,19,0.0,41
1012,826,2,25,26050,19,0.0,41
1012,826,3,30,43206,19,0.0,41
1012,807,1,11,24107,20,0.0,16
1013,822,1,12,20006,1,25.0,51
1013,1,1,13,19993,2,18.0,51
1013,20,1,11,19981,3,15.0,51
1013,830,1,14,20973,4,12.0,51
1013,844,1,34,20382,5,11.0,51
1013,844,2,47,19857,5,11.0,51
1013,815,1,10,20939,6,8.0,51
1013,832,1,12,19755,7,6.0,51
1013,846,1,9,19819,8,4.0,51
1013,846,2,39,22080,8,4.0,51
1013,840,1,10,23099,9,2.0,51
1013,8,1,6,21401,10,1.0,50
1013,848,1,12,20720,11,0.0,50
1013,841,1,7,20776,12,0.0,50
1013,825,1,7,20118,13,0.0,50
1013,825,2,39,20859,13,0.0,50
1013,807,1,8,21325,14,0.0,50
1013,807,2,34,20870,14,0.0,50
1013,847,1,25,20475,15,0.0,49
1013,847,2,38,20751,15,0.0,49
1013,9,1,14,15069,16,0.0,49
1013,9,2,23,21037,16,0.0,49
1013,9,3,42,20703,16,0.0,49
1013,154,1,34,20906,18,0.0,38
1013,826,1,5,21013,19,0.0,33
1013,817,1,10,20884,20,0.0,31
1014,1,1,27,22265,1,26.0,66
1014,1,2,46,22511,1,26.0,66
1014,822,1,26,22034,2,18.0,66
1014,822,2,45,22018,2,18.0,66
1014,830,1,20,22417,3,15.0,66
1014,830,2,43,22540,3,15.0,66
1014,20,1,19,23746,4,12.0,66
1014,20,2,40,21643,4,12.0,66
1014,844,1,25,23646,5,10.0,66
1014,844,2,46,21638,5,10.0,66
1014,842,1,22,22563,6,8.0,66
1014,842,2,46,22095,6,8.0,66
1014,825,1,23,22025,7,6.0,66
1014,825,2,45,22992,7,6.0,66
1014,832,1,24,21468,8,4.0,66
1014,832,2,46,21545,8,4.0,66
1014,826,1,21,22049,9,2.0,66
1014,826,2,45,33821,9,2.0,66
1014,154,1,26,22379,10,1.0,66
1014,154,2,46,22732,10,1.0,66
1014,848,1,25,23591,11,0.0,66
1014,848,2,45,37345,11,0.0,66
1014,817,1,24,22379,12,0.0,66
1014,817,2,45,22702,12,0.0,66
1014,807,1,35,22193,13,0.0,66
1014,8,1,28,22342,14,0.0,66
1014,8,2,45,22549,14,0.0,66
1014,815,1,24,22781,15,0.0,66
1014,815,2,45,22896,15,0.0,66
1014,841,1,6,22381,16,0.0,66
1014,841,2,41,23507,16,0.0,66
1014,847,1,32,22442,17,0.0,65
1014,847,2,44,21846,17,0.0,65
1014,9,1,31,21954,18,0.0,65
1014,9,2,44,22142,18,0.0,65
1014,840,1,22,23321,19,0.0,44
1014,846,1,26,21579,20,0.0,44
1015,1,1,11,24266,1,25.0,78
1015,20,1,11,24483,2,18.0,78
1015,822,1,11,25030,3,15.0,78
1015,822,2,12,24776,3,15.0,78
1015,830,1,11,24011,4,12.0,78
1015,842,1,27,24161,5,11.0,78
1015,842,2,62,23858,5,11.0,78
1015,832,1,30,23795,6,8.0,78
1015,826,1,32,24023,7,6.0,78
1015,848,1,40,25062,8,4.0,78
1015,817,1,11,24269,9,2.0,78
